81,65,0,3
82,65,17,39
81,64,66,92
81,65,84,97
81,64,87,89
80,64,86,79
81,64,88,82
82,64,90,94
82,64,93,97
82,64,99,101
81,63,99,101
81,64,91,97
81,63,85,88
81,63,84,83
82,63,88,91
81,62,89,92
81,62,93,91
81,62,94,94
81,62,87,87
81,62,90,87
81,61,93,91
80,61,90,93
80,61,88,92
80,61,90,89
80,61,91,92
80,61,88,88
80,60,89,87
80,60,91,87
80,61,92,91
79,61,88,90
79,61,89,87
79,61,93,89
79,62,91,91
79,61,88,92
79,62,90,91
79,62,94,92
79,62,90,94
80,62,87,88
80,62,91,88
80,63,93,91
80,63,90,92
80,64,88,86
81,64,91,86
81,63,91,91
81,63,87,90
81,63,89,89
82,64,92,91
82,64,92,93
82,65,88,93
82,64,90,90
81,64,92,88
81,64,87,91
80,64,89,90
79,65,92,90
78,64,93,94
76,64,87,91
75,64,90,86
73,64,92,88
69,64,90,90
66,64,88,88
62,63,92,88
57,64,92,89
51,64,88,89
48,64,65,91
44,63,51,95
44,63,39,99
44,63,39,99
43,64,12,95
42,64,12,94
42,64,12,98
42,64,4,98
42,65,4,98
43,64,0,98
46,64,0,93
49,64,-3,91
53,64,-3,94
59,64,0,95
63,63,2,94
65,63,14,95
65,63,81,95
65,64,95,94
63,64,100,97
61,63,95,94
58,63,93,91
55,63,93,93
50,63,91,91
45,63,61,90
40,63,61,94
34,64,32,99
32,63,12,99
28,64,12,100
30,64,3,102
34,63,3,102
36,64,3,98
37,64,0,96
42,64,0,92
49,64,-2,91
54,64,-2,98
59,64,0,99
63,64,2,97
65,63,35,95
66,63,75,96
65,63,91,94
64,63,93,92
63,63,97,94
61,63,96,94
58,63,92,91
55,63,91,92
51,63,88,95
46,63,77,93
43,63,53,96
40,63,38,100
38,63,38,103
34,64,15,99
29,64,15,99
26,64,7,101
27,64,7,98
32,63,2,97
38,63,2,98
43,62,0,93
45,63,0,92
46,63,0,96
47,63,0,99
51,64,0,102
54,64,0,107
56,64,0,107
58,63,0,99
61,63,2,95
60,63,15,93
59,63,82,91
57,63,97,91
55,63,97,93
51,63,94,93
